block_group,tract,county,state,area_block_group,medincome_block_group,race_total_block_group,race_white_block_group,race_black_block_group,race_asian_block_group,hisp_total_block_group,hisp_yes_block_group,hisp_yes_black_block_group,hisp_yes_white_block_group,hisp_yes_asian_block_group,hisp_no_black_block_group,hisp_no_white_block_group,hisp_no_asian_block_group,grip4_block_group_dens_m_km2
"060759804011",Census Tract 9804.01,San Francisco County,California,861910.151474117,,0,0,0,0,0,0,0,0,0,0,0,0,0
"060590627021",Census Tract 627.02,Orange County,California,507062.355372969,,1078,856,0,0,1078,222,0,0,0,0,856,0,5182.04673026379
"060375766021",Census Tract 5766.02,Los Angeles County,California,394290.403156993,93827,1609,1228,200,166,1609,387,0,326,0,200,817,120,2027.88770353699
"060750615006",Census Tract 615,San Francisco County,California,439448.138182968,214951,3429,1975,56,1400,3429,174,0,114,0,56,1837,1316,3286.07564808172
"060490003002",Census Tract 3,Modoc County,California,2088766175.68856,65353,849,799,21,18,849,147,0,129,0,3,652,0,1.53999553306444
"060590421081",Census Tract 421.08,Orange County,California,341623.107109371,80893,1065,861,0,33,1065,391,0,187,0,0,641,0,2561.28517812744
"060371347203",Census Tract 1347.20,Los Angeles County,California,215977.127949017,60435,1244,432,71,290,1244,544,0,84,0,71,339,271,783.523425002932
"060230112003",Census Tract 112,Humboldt County,California,909532363.93819,52750,1521,1408,0,38,1521,396,0,244,0,0,980,20,42.3497175696015
"060670065004",Census Tract 65,Sacramento County,California,484094.062901157,40529,2412,868,667,445,2412,767,5,525,0,631,235,386,2744.76402757519
"060855043142",Census Tract 5043.14,Santa Clara County,California,483181.438658027,125750,1381,348,33,961,1381,229,0,167,0,33,181,929,1745.94635074458
"060371254023",Census Tract 1254.02,Los Angeles County,California,151010.053579314,64079,2252,1679,128,382,2252,367,0,163,0,105,1386,265,5312.22538502681
"060590998032",Census Tract 998.03,Orange County,California,326105.407417104,40625,1301,230,0,1008,1301,62,0,38,0,0,192,1008,4191.64275600442
"060750264011",Census Tract 264.01,San Francisco County,California,174053.254762013,76211,1886,27,312,1458,1886,92,0,0,0,280,27,1458,2494.5285039054
"060855135001",Census Tract 5135,Santa Clara County,California,1538473614.54455,115833,1278,1027,49,226,1278,464,0,379,50,13,561,129,42.8125511360539
"060375338033",Census Tract 5338.03,Los Angeles County,California,118535.245449187,30625,1198,866,80,0,1198,893,0,590,0,29,274,0,7893.79450593905
"060372122042",Census Tract 2122.04,Los Angeles County,California,60311.4922534039,27893,1545,384,103,192,1545,1273,0,336,0,69,14,167,0
